service_date,vehicle_id,route_id,direction_id,trip_id,stop_id,stop_sequence,scheduled_arrival_time,scheduled_departure_time,actual_arrival_time,actual_departure_time,stop_type,apc_ons,apc_offs,apc_load,lift,longitude,latitude,shape_dist_traveled
20250806,4221,72,,24345432,115,8,14:24:00,14:24:00,14:26:57,14:26:57,4,0,0,0,,-122.70238666666667,45.55651,34543.96436
20250806,4221,72,1,24345433,115,0,14:24:00,14:24:00,14:26:57,14:26:57,4,0,0,0,,-122.70146833333334,45.556455,0.0
20250806,4221,72,1,24345433,9399,1,14:24:49,14:24:49,14:27:33,14:27:33,4,0,0,0,,-122.69830833333333,45.55603166666667,1427.1654
20250806,4221,72,1,24345433,2195,2,14:26:11,14:26:11,14:28:44,14:28:44,4,0,0,0,,-122.69283333333334,45.556398333333334,3789.3702
20250806,4221,72,1,24345433,2226,3,14:27:18,14:27:18,14:29:30,14:29:30,4,0,0,0,,-122.69486333333333,45.56084,5715.22328
20250806,4221,72,1,24345433,9403,4,14:27:52,14:27:52,14:30:06,14:30:06,4,0,0,0,,-122.69478833333334,45.56278833333333,6715.87948
20250806,4221,72,1,24345433,3160,5,14:28:13,14:28:13,14:30:23,14:30:42,0,1,0,1,,-122.69273166666666,45.56274333333333,7309.71152
20250806,4221,72,1,24345433,3179,6,14:28:36,14:28:36,14:31:03,14:31:03,4,0,0,1,,-122.68979333333333,45.562711666666665,7969.16036
20250806,4221,72,1,24345433,3162,7,14:28:58,14:28:58,14:31:32,14:31:32,4,0,0,1,,-122.68759166666666,45.56269833333333,8599.08164
20250806,4221,72,1,24345433,3158,8,14:29:21,14:29:21,14:31:56,14:31:56,4,0,0,1,,-122.68484,45.562665,9278.21552
20250806,4221,72,1,24345433,,,,,14:32:17,14:32:36,3,0,0,1,,-122.68266666666666,45.562643333333334,
20250806,4221,72,1,24345433,3169,9,14:30:20,14:30:20,14:32:55,14:33:11,0,1,0,2,,-122.68169833333333,45.562621666666665,10134.51476
20250806,4221,72,1,24345433,3173,10,14:31:41,14:31:41,14:34:10,14:34:10,4,0,0,2,,-122.67662833333333,45.56267666666667,11295.93212
20250806,4221,72,1,24345433,,,,,14:34:35,14:34:53,3,0,0,2,,-122.67543833333333,45.56267833333333,
20250806,4221,72,1,24345433,3153,11,14:32:17,14:32:17,14:35:03,14:35:27,0,3,0,5,,-122.67516833333333,45.56267166666667,11814.30484
20250806,4221,72,1,24345433,3171,12,14:32:52,14:32:52,14:35:43,14:36:00,0,2,0,7,,-122.673165,45.562685,12322.83504
20250806,4221,72,1,24345433,3156,13,14:33:24,14:33:24,14:36:18,14:36:18,4,0,0,7,,-122.67076666666667,45.56270333333333,12782.15264
20250806,4221,72,1,24345433,,,,,14:36:39,14:36:59,3,0,0,7,,-122.66892833333333,45.562715,
20250806,4221,72,1,24345433,3183,14,14:34:07,14:34:07,14:37:09,14:37:09,4,0,0,7,,-122.66837333333334,45.562715,13398.95056
20250806,4221,72,1,24345433,,,,,14:37:23,14:38:00,3,0,0,7,,-122.66712833333334,45.56271666666667,
20250806,4221,72,1,24345433,3165,15,14:35:48,14:35:48,14:38:53,14:38:53,4,0,0,7,,-122.66231,45.56273,14862.2052
20250806,4221,72,1,24345433,5927,16,14:36:29,14:36:29,14:39:07,14:40:08,0,2,3,6,,-122.66145833333333,45.56238,15449.47556
20250806,4221,72,1,24345433,46,17,14:38:00,14:38:00,14:40:55,14:41:20,0,1,0,7,,-122.66113,45.55907333333333,16761.81156
20250806,4221,72,1,24345433,11478,18,14:38:36,14:38:36,14:41:39,14:41:39,4,0,0,7,,-122.65835333333334,45.559106666666665,17358.92444
20250806,4221,72,1,24345433,69,19,14:39:08,14:39:08,14:41:55,14:42:14,0,3,0,10,,-122.656755,45.5591,17887.13968
20250806,4221,72,1,24345433,48,20,14:39:38,14:39:38,14:42:30,14:42:30,4,0,0,10,,-122.65466,45.5591,18382.54652
20250806,4221,72,1,24345433,50,21,14:40:09,14:40:09,14:42:48,14:42:48,4,0,0,10,,-122.652185,45.55909666666667,18894.35756
20250806,4221,72,1,24345433,52,22,14:40:54,14:40:54,14:43:27,14:43:52,0,0,2,8,,-122.64989333333334,45.559086666666666,19629.26572
20250806,4221,72,1,24345433,54,23,14:41:40,14:41:40,14:44:19,14:44:19,4,0,0,8,,-122.64634833333334,45.559085,20393.70144
20250806,4221,72,1,24345433,11471,24,14:42:25,14:42:25,14:44:51,14:44:51,4,0,0,8,,-122.64340333333334,45.55907666666667,21141.73296
