direction_id,route_id,geom
1,12,"LINESTRING (-122.7303 45.446333, -122.730201 45.446416, -122.730078 45.446529, -122.729957 45.446645, -122.729737 45.446894, -122.729639 45.447023, -122.729537 45.447159, -122.729375 45.447422, -122.72925 45.447657, -122.729097 45.447985, -122.72896 45.448289, -122.728829 45.448584, -122.728663 45.44895, -122.728535 45.449243, -122.7284 45.449485, -122.72833 45.449624, -122.728246 45.449774, -122.728177 45.449892, -122.728088 45.450033, -122.727964 45.450213, -122.727884 45.450317, -122.727767 45.45047, -122.727634 45.450544, -122.72744 45.450722, -122.727413 45.450792, -122.727282 45.450903, -122.727194 45.450968, -122.727156 45.450997)"
1,12,"LINESTRING (-122.727156 45.450997, -122.726992 45.451111, -122.726764 45.451259, -122.726617 45.451342, -122.726452 45.451435, -122.726252 45.451531, -122.726036 45.451629, -122.725825 45.451722, -122.725335 45.451923, -122.724981 45.452056, -122.724768 45.452139, -122.724319 45.452312, -122.723982 45.45244, -122.723506 45.452623, -122.723466 45.452638)"
1,12,"LINESTRING (-122.723466 45.452638, -122.723327 45.452691, -122.723065 45.45279, -122.722928 45.452792, -122.722603 45.452917, -122.722513 45.45295, -122.722169 45.453087, -122.72208 45.453122, -122.722068 45.453188, -122.721844 45.453274, -122.721649 45.453349)"
1,12,"LINESTRING (-122.721649 45.453349, -122.721494 45.453409, -122.721148 45.453543, -122.720737 45.453703, -122.720519 45.453784, -122.720137 45.453927, -122.720003 45.453977, -122.719861 45.45403, -122.719766 45.454068, -122.719573 45.454145, -122.719466 45.454187, -122.71931 45.454249, -122.718739 45.454474, -122.718658 45.454404, -122.718584 45.454371, -122.718503 45.454356, -122.718425 45.454355, -122.718329 45.45436, -122.718248 45.454375, -122.718051 45.454434, -122.717446 45.454614)"
1,12,"LINESTRING (-122.717446 45.454614, -122.717382 45.454644, -122.717355 45.454674, -122.717322 45.454775, -122.717305 45.45486, -122.717319 45.454911, -122.717356 45.455022, -122.716691 45.455281, -122.716599 45.455317, -122.716144 45.455497, -122.715918 45.455587, -122.715658 45.455689, -122.715523 45.455742, -122.715312 45.455827, -122.715158 45.455889, -122.715004 45.45595, -122.714522 45.456168, -122.71432 45.45626, -122.714005 45.456402, -122.713532 45.456631, -122.713457 45.456667)"
1,12,"LINESTRING (-122.713457 45.456667, -122.713304 45.456743, -122.713044 45.456872, -122.712699 45.457049, -122.712041 45.457404, -122.711889 45.457486, -122.711625 45.457639, -122.711469 45.457729, -122.71087 45.458074, -122.710485 45.458297, -122.710292 45.45841, -122.710206 45.458405, -122.710082 45.458477, -122.710056 45.458547, -122.709594 45.458811)"
1,12,"LINESTRING (-122.709594 45.458811, -122.709313 45.458973, -122.708934 45.459189, -122.708646 45.459354, -122.708585 45.459389, -122.708464 45.459458, -122.708219 45.459598, -122.708075 45.459681, -122.707857 45.459806, -122.707764 45.459864, -122.707671 45.459921, -122.707534 45.46)"
1,12,"LINESTRING (-122.707534 45.46, -122.707417 45.460067, -122.707266 45.460154, -122.707015 45.460298, -122.70674 45.460456, -122.706448 45.460624, -122.706287 45.460652, -122.706242 45.46068, -122.706194 45.460708, -122.706001 45.460828, -122.705965 45.460906, -122.705558 45.461135, -122.705525 45.461154)"
1,12,"LINESTRING (-122.705525 45.461154, -122.705192 45.461343, -122.704659 45.461656, -122.704206 45.461916, -122.704055 45.462002, -122.703903 45.462089, -122.70376 45.462171, -122.703586 45.46227, -122.703424 45.462364, -122.702877 45.462677)"
1,12,"LINESTRING (-122.702877 45.462677, -122.702573 45.46285, -122.702461 45.462914, -122.70243 45.462932, -122.70227 45.463025, -122.702102 45.463124, -122.701971 45.463198, -122.701494 45.463477, -122.701264 45.463607, -122.700581 45.464001, -122.700277 45.464177, -122.700071 45.464295)"
1,12,"LINESTRING (-122.700071 45.464295, -122.699473 45.464638, -122.699365 45.4647, -122.698494 45.465207, -122.698038 45.465472, -122.69796 45.465519, -122.697829 45.465592, -122.697776 45.465623, -122.697681 45.465678, -122.697597 45.465726)"
1,12,"LINESTRING (-122.697597 45.465726, -122.697396 45.465844, -122.697262 45.465923, -122.697066 45.466036, -122.696943 45.466107, -122.696586 45.466311, -122.695645 45.466855, -122.695345 45.467026, -122.695087 45.467175, -122.694887 45.467285, -122.694733 45.467374, -122.69438 45.467579)"
1,12,"LINESTRING (-122.69438 45.467579, -122.694083 45.467752, -122.693683 45.46798, -122.693254 45.468224, -122.69282 45.468471, -122.692528 45.468644, -122.692408 45.468716, -122.692249 45.46881)"
